case_id,year,growth,tx_expansion,ng_price,ccs_capex,renewable_capex,nuclear_capex,conv_hydro_rps_eligible,electrification
s1,2040,normal,high,reference,mid,mid,mid,no,high
s6,2040,normal,high,reference,mid,mid,mid,no,high
s7,2040,normal,high,reference,mid,mid,mid,no,high
p1,2040,normal,high,reference,mid,low,mid,no,high
p6,2040,normal,high,reference,mid,low,mid,no,high
p7,2040,normal,high,reference,mid,low,mid,no,high
