case_id,year,growth,tx_expansion,ng_price,ccs_capex,renewable_capex,nuclear_capex,conv_hydro_rps_eligible,ca_nuclear_allowed,electrification
s1,2030,normal,high,reference,mid,mid,mid,no,no,high_electrification
s2,2030,normal,high,reference,mid,mid,mid,no,no,high_electrification
s3,2030,normal,high,reference,mid,mid,mid,no,no,high_electrification
p1,2030,normal,high,reference,mid,low,mid,no,no,high_electrification
p2,2030,normal,high,reference,mid,low,mid,no,no,high_electrification
p3,2030,normal,high,reference,mid,low,mid,no,no,high_electrification
