case_id,year,growth,tx_expansion,ng_price,ccs_capex,renewable_capex,nuclear_capex,conv_hydro_rps_eligible,electrification
s1,2030,normal,high,reference,mid,mid,mid,no,high
s2,2030,normal,high,reference,mid,mid,mid,no,high
s3,2030,normal,high,reference,mid,mid,mid,no,high
p1,2030,normal,high,reference,mid,low,mid,no,high
p2,2030,normal,high,reference,mid,low,mid,no,high
p3,2030,normal,high,reference,mid,low,mid,no,high
