Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
226,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
227,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
228,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
229,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
230,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
231,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
232,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
233,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
234,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
235,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
236,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
237,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
238,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
239,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
240,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
241,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
242,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
243,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
244,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
245,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
246,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
247,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
248,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
249,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
250,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
251,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
252,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
253,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
254,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
255,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
256,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
257,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
258,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
259,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
260,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
261,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
262,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
263,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
264,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
265,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
266,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
267,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
268,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
269,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
270,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
271,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
272,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
273,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
274,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
275,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
276,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
277,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
278,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
279,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
280,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
281,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
282,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
283,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
284,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
285,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
286,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
287,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
288,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
289,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
290,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
291,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
292,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
293,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
294,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
295,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
296,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
297,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
298,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
299,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
300,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
301,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
302,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
303,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
304,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
305,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
306,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
307,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
308,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
309,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
310,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
311,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
312,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
313,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
314,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
315,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
316,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
317,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
318,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
319,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
320,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
321,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
322,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
323,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
324,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
325,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
326,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
327,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
328,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
329,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
330,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
331,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
332,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
333,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
334,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
335,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
336,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
337,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
338,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
339,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
340,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
341,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
342,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
343,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
344,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
345,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
346,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
347,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
348,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
349,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
350,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
351,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
352,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
353,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
354,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
355,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
356,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
357,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
358,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
359,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
360,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
361,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
362,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
363,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
364,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
365,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
366,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
367,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
368,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
369,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
370,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
371,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
372,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
373,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
374,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
375,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
376,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
377,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
378,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
379,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
380,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
381,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
382,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
383,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
384,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
