case_id,year,growth,tx_expansion,ng_price,ccs_capex,renewable_capex,nuclear_capex,conv_hydro_rps_eligible,electrification
p1,2040,normal,high,reference,mid,mid,mid,no,high
p4,2040,normal,high,reference,mid,low,mid,no,high
